"Part Number","Capacitance","Rated Voltage","Temperature Characteristic","Tolerance","Size","Length (mm)","Width (mm)","Height (mm)","Datasheet URL"
"GRM155R71C104KA88D","100nF","16V","X7R","10%","0402","1.0","0.5","0.5","https://www.murata.com/products/productdetail?partno=GRM155R71C104KA88D"
"GRM188R71C104KA01D","100nF","16V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71C104KA01D"
"GRM21BR71C105KA12L","1uF","16V","X7R","10%","0805","2.0","1.25","1.25","https://www.murata.com/products/productdetail?partno=GRM21BR71C105KA12L"
"GRM21BR71A106KE51L","10uF","10V","X7R","10%","0805","2.0","1.25","1.25","https://www.murata.com/products/productdetail?partno=GRM21BR71A106KE51L"
"GRM21BR71C106KE15L","10uF","16V","X7R","10%","0805","2.0","1.25","1.4","https://www.murata.com/products/productdetail?partno=GRM21BR71C106KE15L"
"GRM31CR71E106KA12L","10uF","25V","X7R","10%","1206","3.2","1.6","1.6","https://www.murata.com/products/productdetail?partno=GRM31CR71E106KA12L"
"GRM188R71E104KA01D","100nF","25V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71E104KA01D"
"GRM155R71H103KA88D","10nF","50V","X7R","10%","0402","1.0","0.5","0.5","https://www.murata.com/products/productdetail?partno=GRM155R71H103KA88D"
"GRM188R71H103KA01D","10nF","50V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71H103KA01D"
"GRM1885C1H102JA01D","1nF","50V","C0G","5%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM1885C1H102JA01D"
"GRM1885C1H101JA01D","100pF","50V","C0G","5%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM1885C1H101JA01D"
"GRM155R71C473KA88D","47nF","16V","X7R","10%","0402","1.0","0.5","0.5","https://www.murata.com/products/productdetail?partno=GRM155R71C473KA88D"
"GRM188R71C473KA01D","47nF","16V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71C473KA01D"
"GRM21BR71C475KE11L","4.7uF","16V","X7R","10%","0805","2.0","1.25","1.25","https://www.murata.com/products/productdetail?partno=GRM21BR71C475KE11L"
"GRM21BR71E475KA73L","4.7uF","25V","X7R","10%","0805","2.0","1.25","1.4","https://www.murata.com/products/productdetail?partno=GRM21BR71E475KA73L"
"GRM31CR71C226KE15L","22uF","16V","X7R","10%","1206","3.2","1.6","1.8","https://www.murata.com/products/productdetail?partno=GRM31CR71C226KE15L"
"GRM31CR71E226ME15L","22uF","25V","X7R","20%","1206","3.2","1.6","1.8","https://www.murata.com/products/productdetail?partno=GRM31CR71E226ME15L"
"GRM188R71A105KA61D","1uF","10V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71A105KA61D"
"GRM155R61A104KA01D","100nF","10V","X5R","10%","0402","1.0","0.5","0.5","https://www.murata.com/products/productdetail?partno=GRM155R61A104KA01D"
"GRM188R61A105KA61D","1uF","10V","X5R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R61A105KA61D"
"GRM21BR61A106ME19L","10uF","10V","X5R","20%","0805","2.0","1.25","1.25","https://www.murata.com/products/productdetail?partno=GRM21BR61A106ME19L"
"GRM32ER71E226KE15L","22uF","25V","X7R","10%","1210","3.2","2.5","2.5","https://www.murata.com/products/productdetail?partno=GRM32ER71E226KE15L"
"GRM1885C1H470JA01D","47pF","50V","C0G","5%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM1885C1H470JA01D"
"GRM1555C1H220JA01D","22pF","50V","C0G","5%","0402","1.0","0.5","0.5","https://www.murata.com/products/productdetail?partno=GRM1555C1H220JA01D"
"GRM188R71H222KA01D","2.2nF","50V","X7R","10%","0603","1.6","0.8","0.8","https://www.murata.com/products/productdetail?partno=GRM188R71H222KA01D"
